PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,SEASON,POSITION,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
2124,Malik,Allen,Malik Allen,2000,PF-C,80.25,,271,86.5,109,25.5,29,,,,11.83,,3.38,13
12019,Harold,Arceneaux,Harold Arceneaux,2000,SG-SF,76.5,,219,80.5,103,,29,,,,13.8,,,0
12020,Lamont,Barnes,Lamont Barnes,2000,PF-C,80.5,,235.5,87.5,108,28,29.5,,,,12.3,,3.4,10
12131,Mario,Bland,Mario Bland,2000,PF,77.5,,287,84,103,27,31,,,,13.04,,3.47,15
2056,Primoz,Brezec,Primoz Brezec,2000,C,84.75,,243,86,110,26,29.5,,,,11.53,,3.55,
2081,Ernest,Brown,Ernest Brown,2000,C,82,,222.5,85.25,109.5,,,,,,,,,2
2049,Speedy,Claxton,Speedy Claxton,2000,PG,70.5,,166,72,94.5,36,42.5,,,,10.48,,3.06,6
12132,Eric,Coley,Eric Coley,2000,SG-SF,76,,205,83,102,35,38,,,,11.4,,3.15,10
12133,Ed,Cota,Ed Cota,2000,PG,72.25,,189,76,96.5,26.5,33.5,,,,10.98,,3.24,1
12134,Schea,Cotton,Schea Cotton,2000,SF,76.25,,219.5,79,100,34,38,,,,11.55,,3,19
2037,Jamal,Crawford,Jamal Crawford,2000,PG-SG,76.5,,175,82,102.5,,,,,,,,,0
12017,Caswell,Cyrus,Caswell Cyrus,2000,PF,79.75,,220.5,86,107.5,33.5,37.5,,,,12.12,,3.16,18
2064,Khalid,El-Amin,Khalid El-Amin,2000,PG,69,,200,73.5,93,27.5,32,,,,10.59,,3.32,6
12018,Vassil,Evtimov,Vassil Evtimov,2000,PF,81.75,,262,82.5,106.5,21,28.5,,,,11.75,,3.52,13
2238,Antonis,Fotsis,Antonis Fotsis,2000,SF,81.25,,219,80.5,106,27,30,,,,11.6,,3.44,2
2109,Eddie,Gill,Eddie Gill,2000,PG,71.75,,176,76,93,35,38.5,,,,11.12,,3.18,13
12135,Ceedric,Goodwyn,Ceedric Goodwyn,2000,SF-PF,78,,238,82,104.5,,,,,,,,,
12136,Marcus,Goree,Marcus Goree,2000,SF-PF,79.5,,239,84.5,105.5,29.5,33.5,,,,12,,3.25,13
12137,A.J.,Granger,A.J. Granger,2000,SF,79.5,,227,81.5,103,30,34,,,,10.73,,3.25,20
2062,A.J.,Guyton,A.J. Guyton,2000,PG-SG,72.75,,175,75.75,97.5,33,37.5,,,,10.55,,3.22,9
2110,Ron,Hale,Ron Hale,2000,SG-SF,79.5,,202,83,104.5,29.5,34.5,,,,12.58,,3.2,11
2078,Jason,Hart,Jason Hart,2000,PG,73.75,,181,78,97.5,29.5,33.5,,,,11.7,,3.34,9
2051,Donnell,Harvey,Donnell Harvey,2000,PF,79.25,,220,84.5,105.5,33,32.5,,,,11.23,,,15
12138,Johnny,Hemsley,Johnny Hemsley,2000,SG-SF,74.75,,200,80,100.5,31.5,35,,,,11.5,,3.19,5
12139,Michael,Hermon,Michael Hermon,2000,SG-PG,74.75,,195,78.25,98.5,29,33,,,,11.79,,3.25,0
2083,Cory,Hightower,Cory Hightower,2000,SG-SF,77.5,,183,83,101.5,29.5,34.5,,,,11.92,,3.37,0
12140,Shaheen,Holloway,Shaheen Holloway,2000,PG,69.5,,174,70,91,,,,,,11.22,,3.32,6
2067,Eddie,House,Eddie House,2000,SG-PG,71.75,,176.5,75.5,95,29.5,38.5,,,,11.12,,3.27,5
2111,Jimmie,Hunter,Jimmie Hunter,2000,SG-PG,75,,170,80,100,29,36,,,,11.23,,3.35,0
12141,Jacob,Jaacks,Jacob Jaacks,2000,PF,81.25,,238,83,105.5,26,32,,,,11.48,,3.58,3
2060,Marko,Jaric,Marko Jaric,2000,SG-SF,78.5,,210,81,104,27.5,33,,,,11.32,,3.28,
12142,Nate,Johnson,Nate Johnson,2000,SF,78.5,,211.5,80.5,104,27,33.5,,,,11.9,,3.33,13
12143,Kenyon,Jones,Kenyon Jones,2000,PF-C,81,,282,85,108,28.5,30,,,,12.44,,3.6,20
2077,Mark,Karcher,Mark Karcher,2000,SG,76,,218,80,102.5,27.5,30.5,,,,11.51,,3.4,12
12144,Brandon,Kurtz,Brandon Kurtz,2000,PF-C,81.5,,257,83.25,106.5,,,,,,,,,7
2061,Dan,Langhi,Dan Langhi,2000,SF,81,,197.5,80,104,31,34.5,,,,10.85,,3.24,12
2090,Justin,Love,Justin Love,2000,PG-SG,73.5,,205.5,76.5,97.5,31,38.5,,,,10.99,,3.31,24
2058,Mark,Madsen,Mark Madsen,2000,PF,80,,236.5,84.5,104.5,30.5,33.5,,,,12.12,,3.46,13
2082,Dan,McClintock,Dan McClintock,2000,C-PF,83,,250,85.5,107,33,35,,,,11.52,,3.33,20
2087,Pete,Mickeal,Pete Mickeal,2000,SG-SF,77,,222,81.5,103.5,28,34.5,,,,10.83,,3.06,8
12145,Brian,Montonati,Brian Montonati,2000,PF,80.75,,215,82.5,106,25,29,,,,11.85,,3.53,5
2508,Gabe,Muoneke,Gabe Muoneke,2000,PF-SF,78.25,,244,84.5,105,30.5,34,,,,11,,3.4,22
12146,Ndongo,N'diaye,Ndongo N'diaye,2000,C,83.5,,208,87.5,112.5,24.5,27.5,,,,13.16,,3.69,4
2059,Eduardo,Najera,Eduardo Najera,2000,PF-SF,78.5,,234.5,83.5,104.5,28,35,,,,11.38,,3.45,15
12147,Matthew,Nielsen,Matthew Nielsen,2000,PF,81,,223,82.5,106,26,29,,,,11.28,,3.35,3
2084,Chris,Porter,Chris Porter,2000,SF-PF,77.5,,214,81.5,103.5,28.5,35,,,,10.93,,3.2,6
2068,Lavor,Postell,Lavor Postell,2000,SG,76.5,,205,80.5,101.5,33.5,36.5,,,,11.79,,3.3,17
2080,Igor,Rakocevic,Igor Rakocevic,2000,PG,74.5,,184,77.25,100,27.5,34,,,,10.4,,3.1,9
12148,Reed,Rawlings,Reed Rawlings,2000,SG-SF,78.25,,218,81.25,104,28.5,33.5,,,,11.1,,3.27,13
2072,Michael,Redd,Michael Redd,2000,SG-SF,76.75,,214,81,102,27,31,,,,12.06,,3.34,12
12149,Damon,Reed,Damon Reed,2000,PF-C,80.5,,228,81.5,104.5,27.5,31.5,,,,11.21,,3.31,4
12021,Aubrey,Reese,Aubrey Reese,2000,PG,70.75,,189,77.5,94.5,31.5,37.5,,,,11.13,,3.25,14
2121,Terrance,Roberson,Terrance Roberson,2000,SF,77.5,,209,80,103.5,29,32.5,,,,11.66,,,11
12022,Julius Doc,Robinson,Julius Doc Robinson,2000,PG,72,,184,75.75,95.5,30,37.5,,,,12.54,,3.41,0
12023,Pepe,Sanchez,Pepe Sanchez,2000,PG,75,,194,75.5,96,26,31,,,,11.62,,3.44,8
12024,Matt,Santangelo,Matt Santangelo,2000,PG,72,,177,75,94,33.5,43,,,,10.66,,3.06,12
2637,Alex,Scales,Alex Scales,2000,SG-PG,74.25,,184.5,81,97.5,38.5,42.5,,,,10.98,,3.21,10
12025,Karim,Shabazz,Karim Shabazz,2000,C,83.5,,224,87,111.5,24.5,28,,,,12.72,,3.36,2
12026,Nick,Sheppard,Nick Sheppard,2000,PF-C,81.5,,273,83,107.5,23.5,25.5,,,,12.14,,3.52,18
2065,Mike,Smith,Mike Smith,2000,SF,78.5,,198,80.5,103,33,21,,,,11.32,,3.22,12
2074,Jabari,Smith,Jabari Smith,2000,PF-C,81.75,,240.5,86.5,109.5,24.5,30,,,,12.45,,3.43,15
12027,Jarrett,Stephens,Jarrett Stephens,2000,PF,77.25,,258,81.25,103,27,29,,,,11.98,,3.46,13
12028,Bootsy,Thornton,Bootsy Thornton,2000,SG,75.5,,194.5,78.5,101.5,26.5,31,,,,12.08,,3.33,7
12029,Jaquay,Walls,Jaquay Walls,2000,PG,73.25,,165.5,74.5,96.5,28.5,35.5,,,,10.75,,3.23,0
12030,Jameel,Watkins,Jameel Watkins,2000,PF-C,81.5,,244.5,90,110,28,30.5,,,,12.38,,3.45,11
12033,Adam,Allenspach,Adam Allenspach,2001,C,83.5,,259,84.5,107,28.5,31,12.4,,,11.9,,3.4,16
2240,Gilbert,Arenas,Gilbert Arenas,2001,SG,74.25,,199,81.5,99.5,31.5,36,5.3,,,,,3.25,12
2220,Brandon,Armstrong,Brandon Armstrong,2001,SG,75.5,,188,81.5,99.5,30,37,9.3,,,10.91,,3.2,6
2203,Shane,Battier,Shane Battier,2001,SF-PF,80.25,,229,82.5,105,29.5,33,9.3,,,10.95,,3.3,12
12034,Cookie,Belcher,Cookie Belcher,2001,SG-PG,75,,206,80.5,99,35,41.5,5.3,,,11.26,,2.91,7
2294,Charlie,Bell,Charlie Bell,2001,PG,74.5,,200,79.5,97.5,31.5,38,6.7,,,10.59,,3.12,15
2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,2001,C,83.5,,245,88,111,26.5,31,6,,,11.84,,3.33,6
12035,Calvin,Bowman,Calvin Bowman,2001,PF,80.75,,214,83.5,104,28.5,34.5,8.6,,,11.96,,3.21,7
2214,Michael,Bradley,Michael Bradley,2001,PF,81.5,,227,85.5,107,27,30,9.3,,,11.11,,3.35,13
2249,Jamison,Brewer,Jamison Brewer,2001,PG,74.5,,178,80.75,102.5,26,32.5,6.7,,,9.65,,3.15,12
2198,Kwame,Brown,Kwame Brown,2001,PF-C,82,,243,85,108,30,33,8.9,,,11.59,,3.45,17
2245,Damone,Brown,Damone Brown,2001,SF,80.25,,202,83.75,104.5,32,37,6.7,,,11.81,,3.27,6
12031,SirValiant,Brown,SirValiant Brown,2001,PG,71,,176,76,92.5,31,39.5,6.7,,,11.23,,3,10
12032,Ryan,Carroll,Ryan Carroll,2001,SF-SG,76,,202,80.25,99,34.5,39,8,,,11,,3.1,14
2199,Tyson,Chandler,Tyson Chandler,2001,SF-PF,83.5,,224,87,110,31,33.5,6.7,,,12.13,,3.36,2
2251,Eric,Chenowith,Eric Chenowith,2001,C,85,,264,88,111,23.5,27.5,12.9,,,12.5,,3.59,6
2439,Sam,Clancy,Sam Clancy,2001,PF,78.25,,242,86.75,107,31,34,8,,,11.47,,3.13,15
12036,Gyasi,Cline-Heard,Gyasi Cline-Heard,2001,PF,78.25,,231,83.5,103,31.5,34.5,8,,,11.4,,3.23,11
2215,Jason,Collins,Jason Collins,2001,PF-C,82.25,,251,88.5,110,25.5,28.5,12.9,,,12.1,,3.54,8
2260,Jarron,Collins,Jarron Collins,2001,C-PF,81.25,,252,87,104,23,29,15.2,,,11.65,,3.6,10
2241,Omar,Cook,Omar Cook,2001,PG,71.5,,189,77.5,92,31,35.5,5.5,,,10.77,,3.2,9
2201,Eddy,Curry,Eddy Curry,2001,C,82.5,,301,90.5,111,28,31,16.5,,,12.25,,3.53,16
12037,Tate,Decker,Tate Decker,2001,SF,81.25,,218,83.75,107,25.5,28.5,13.6,,,12.19,,3.47,13
2205,DeSagana,Diop,DeSagana Diop,2001,C,82,,314,90.5,113,21.5,25.5,21,,,12.37,,3.56,15
12038,Robb,Dryden,Robb Dryden,2001,C,85,,241,86.5,110.2,27,30,8,,,12.47,,3.46,8
2230,Maurice,Evans,Maurice Evans,2001,SG,76.25,,221,80,101,34.5,37.5,4,,,10.08,,3.12,22
12039,Anthony,Evans,Anthony Evans,2001,PF,78,,267,83.5,101.5,31.5,33,12.9,,,12.56,,3.31,18
12150,Benjamin,Eze,Benjamin Eze,2001,C-PF,80.75,,232,90,109,29,32,3.9,,,13.05,,3.36,14
2386,Kimani,Ffriend,Kimani Ffriend,2001,C-PF,81.5,,228,82.75,108.5,32,33,11.7,,,11.46,,3.09,9
